timestamp,ego_x,ego_y,opp_x,opp_y,distance,ego_speed,opp_speed,ego_laps,opp_laps
1776210187.2253995,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.261553,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.3076804,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.3729763,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.4143867,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.4568615,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.516078,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.5561035,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.607121,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.6560225,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.7184198,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.787848,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.834224,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.8627145,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.9187696,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.9833982,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.0453575,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.1127155,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.1578126,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.235051,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.2689228,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.3428376,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.3833373,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.4728603,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.5246623,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.6003723,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.6756303,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.7059205,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.7582245,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.807028,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.8589835,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210188.9062824,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.0275707,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.069571,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.1136816,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.1565342,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.20874,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.2573981,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.3175566,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.3826406,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.46573,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.5219793,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.5834544,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.6200094,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.6569903,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.7151444,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.7556508,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.8092446,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.8656225,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.9077938,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210189.9595933,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.0412536,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.084205,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.1586647,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.2125795,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.2569807,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.3083878,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.3618374,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.4292665,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.4593108,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.5084531,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.5638685,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.6301599,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.6826675,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.726835,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.7735784,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.8500388,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.9035003,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.9493062,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210190.9944184,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.0355365,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.1283364,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.190766,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.275843,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.3167775,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.376823,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210191.415613,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
