timestamp,lap,ego_x,ego_y,ego_vel,ego_s,ego_d,opp_x,opp_y,opp_vel,opp_s,opp_d,rel_x,rel_y,rel_vel,rel_s,rel_d,imm_trajectory
1781385961.147385,0,-13.93182386922343,47.93694847064039,1.9037610907387037,0.0,0.0,-17.55256251909114,47.987615063830795,1.999979174464578,0.0,0.0,-3.620738649867709,0.05066659319040667,0.09621808372587437,0.0,0.0,[]
1781385961.198318,0,-14.006959435104482,47.951332674609006,1.9208010476455688,0.0,0.0,-17.632232012319875,47.994867070136515,1.9999828618112954,0.0,0.0,-3.6252725772153926,0.04353439552750871,0.07918181416572656,0.0,0.0,[]
1781385961.247544,0,-14.082992417860805,47.96423578568341,1.9348239282616015,0.0,0.0,-17.7118096753872,48.003068940083494,1.999985896280402,0.0,0.0,-3.6288172575263964,0.03883315440008772,0.06516196801880048,0.0,0.0,[]
1781385961.301903,0,-14.159706220964525,47.976127757311794,1.9463639328429678,0.0,0.0,-17.7915081891314,48.00998334414686,1.9999883934696991,0.0,0.0,-3.631801968166874,0.03385558683506673,0.05362446062673132,0.0,0.0,[]
1781385961.34732,0,-14.256433942239696,47.989277361436706,1.9579595015493874,0.0,0.0,-17.891274378600272,48.01679231762924,1.9999909026827467,0.0,0.0,-3.6348404363605766,0.02751495619253319,0.04203140113335935,0.0,0.0,[]
1781385961.3976953,0,-14.334383809387727,47.9983029542028,1.9654031466139483,0.0,0.0,-17.971182052616903,48.02058728594924,1.9999925134438739,0.0,0.0,-3.636798243229176,0.022284331746440955,0.03458936682992553,0.0,0.0,[]
1781385961.447413,0,-14.412753521998335,48.005942689132084,1.9715288279556895,0.0,0.0,-18.031156583333075,48.02230800000968,1.9999935314246235,0.0,0.0,-3.6184030613347407,0.016365310877596073,0.02846470346893404,0.0,0.0,[]
1781385961.497379,0,-14.49147164496533,48.012167527653965,1.9765699028020987,0.0,0.0,-18.131145855004345,48.02372392022484,1.9999949298644082,0.0,0.0,-3.639674210039015,0.011556392570874152,0.023425027062309534,0.0,0.0,[]
1781385961.5475578,0,-14.570473702373334,48.01695688641232,1.9807184104030306,0.0,0.0,-18.21114472350433,48.02403653847961,1.9999958275771177,0.0,0.0,-3.640671021130995,0.007079652067289999,0.01927741717408704,0.0,0.0,[]
1781385961.597205,0,-14.669536889188835,48.020908482323826,1.9848868927096481,0.0,0.0,-18.311137030717276,48.02288067551129,1.9999967296122365,0.0,0.0,-3.641600141528441,0.0019721931874627785,0.01510983690258838,0.0,0.0,[]
1781385961.655442,0,-14.74897210064429,48.022416986042195,1.9875628030969659,0.0,0.0,-18.391130214674657,48.02184785476457,1.9999973086635474,0.0,0.0,-3.6421581140303676,-0.000569131277622148,0.012434505566581544,0.0,0.0,[]
1781385961.6973245,0,-14.808624199109287,48.02257497009403,1.9892539447666695,0.0,0.0,-18.45112942042851,48.02172565928116,1.9999976746166845,0.0,0.0,-3.642505221319224,-0.0008493108128675431,0.010743729850015038,0.0,0.0,[]
1781385961.760352,0,-14.928041353349192,48.02040751756342,1.9919776392902195,0.0,0.0,-18.57108587521502,48.02469846036087,1.999998264008202,0.0,0.0,-3.6430445218658267,0.004290942797446462,0.008020624717982372,0.0,0.0,[]
1781385961.7972744,0,-15.007686692225743,48.017251062958664,1.9933980697775895,0.0,0.0,-18.650985865562447,48.028683836178885,1.9999985713810269,0.0,0.0,-3.643299173336704,0.011432773220221293,0.006600501603437392,0.0,0.0,[]
1781385961.8744328,0,-15.007686692225743,48.017251062958664,1.9933980697775895,0.0,0.0,-18.650985865562447,48.028683836178885,1.9999985713810269,0.0,0.0,-3.643299173336704,0.011432773220221293,0.006600501603437392,0.0,0.0,[]
1781385961.8974485,0,-15.166916140101343,48.007079800647396,1.9955289614035476,0.0,0.0,-18.81054768255989,48.04041901116456,1.9999990324934747,0.0,0.0,-3.6436315424585466,0.0333392105171626,0.00447007108992703,0.0,0.0,[]
